transition,model_code,annual_probability, return_interval ,bps_name
Competition or Maintenance,10160_15_28,0.0034882,287,Colorado Plateau Pinyon-Juniper Woodland
Competition or Maintenance,10160_16_23_24_25,0.0037272,268,Colorado Plateau Pinyon-Juniper Woodland
Competition or Maintenance,10160_17,0.003699,270,Colorado Plateau Pinyon-Juniper Woodland
Competition or Maintenance,10160_22,0.0066438,151,Colorado Plateau Pinyon-Juniper Woodland
Competition or Maintenance,10260_15,0.0014262,701,Madrean Upper Montane Conifer-Oak Forest and Woodland
Competition or Maintenance,10450_1_7_8_9,0.0078444,127,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Competition or Maintenance,10451_20,0.0003808,2626,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
Competition or Maintenance,10452_10_19,0.0002938,3404,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
Competition or Maintenance,10460_10_19_20,0.00214,467,Northern Rocky Mountain Subalpine Woodland and Parkland
Competition or Maintenance,10460_18,0.0020374,491,Northern Rocky Mountain Subalpine Woodland and Parkland
Competition or Maintenance,10460_21,0.0018328,546,Northern Rocky Mountain Subalpine Woodland and Parkland
Competition or Maintenance,10470_8_9,0.0004524,2210,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Competition or Maintenance,10500_16_23_28,0.0009676,1033,Rocky Mountain Lodgepole Pine Forest
Competition or Maintenance,10500_18,0.001005,995,Rocky Mountain Lodgepole Pine Forest
Competition or Maintenance,10500_22,0.0008352,1197,Rocky Mountain Lodgepole Pine Forest
Competition or Maintenance,10510_15_16_17_22_23_24_25,0.0019194,521,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Competition or Maintenance,10510_18_21,0.0019198,521,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Competition or Maintenance,10510_27,0.0024462,409,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Competition or Maintenance,10510_29,0.0019034,525,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Competition or Maintenance,10510_6,0.0019156,522,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Competition or Maintenance,10520_28,0.0046248,216,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Competition or Maintenance,10532_7_9,0.000089,11236,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric
Competition or Maintenance,10550_10_19,0.0008498,1177,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_15_28,0.000448,2232,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_16_23_24,0.0007446,1343,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_17,0.0009182,1089,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_18,0.0008514,1175,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_20,0.0007646,1308,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_21_22,0.0006908,1448,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_27,0.0004438,2253,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10550_29,0.0001024,9766,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Competition or Maintenance,10560_10_19,0.0005292,1890,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Competition or Maintenance,10560_15_28,0.000436,2294,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Competition or Maintenance,10560_16_23,0.0007116,1405,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Competition or Maintenance,10560_18,0.0008308,1204,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Competition or Maintenance,10590_24_28,0.0066654,150,Southern Rocky Mountain Pinyon-Juniper Woodland
Competition or Maintenance,10610_6,0.0131214,76,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Competition or Maintenance,10860_25,0.0021618,463,Rocky Mountain Lower Montane-Foothill Shrubland
Competition or Maintenance,10860_27_31_33,0.0008688,1151,Rocky Mountain Lower Montane-Foothill Shrubland
Competition or Maintenance,10860_28,0.001768,566,Rocky Mountain Lower Montane-Foothill Shrubland
Competition or Maintenance,11020_28,0.0035186,284,Colorado Plateau Pinyon-Juniper Shrubland
Competition or Maintenance,11040_23_24,0.0118994,84,Mogollon Chaparral
Competition or Maintenance,11190_24_25,0.0009444,1059,Southern Rocky Mountain Juniper Woodland and Savanna
Competition or Maintenance,11190_27,0.0017182,582,Southern Rocky Mountain Juniper Woodland and Savanna
Competition or Maintenance,11190_28,0.0009756,1025,Southern Rocky Mountain Juniper Woodland and Savanna
Competition or Maintenance,11230_1_7_8_9,0.007966,126,Columbia Plateau Steppe and Grassland
Competition or Maintenance,11340_8_9,0.0280224,36,Columbia Basin Foothill and Canyon Dry Grassland
Competition or Maintenance,11390_8_9,0.2104072,5,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
Competition or Maintenance,11460_15_16_23_24_25_28,0.0482026,21,Southern Rocky Mountain Montane-Subalpine Grassland
Competition or Maintenance,11610_21,0.003591,278,Northern Rocky Mountain Conifer Swamp
Competition or Maintenance,11670_10_19,0.0002548,3925,Rocky Mountain Poor-Site Lodgepole Pine Forest
Competition or Maintenance,11670_21,0.0025746,388,Rocky Mountain Poor-Site Lodgepole Pine Forest
Competition or Maintenance,11720_7,0.0025218,397,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
Competition or Maintenance,13080_32_35,0.003292,304,Crosstimbers Oak Forest and Woodland
Competition or Maintenance,13080_38_43_44,0.0032984,303,Crosstimbers Oak Forest and Woodland
Competition or Maintenance,13460_54_55_58,0.0046736,214,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
Competition or Maintenance,13470_55_58_60,0.0047488,211,Atlantic Coastal Plain Upland Longleaf Pine Woodland
Competition or Maintenance,13480_37_45_98,0.0078408,128,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland
Competition or Maintenance,13530_47,0.0047582,210,Southern Appalachian Low-Elevation Pine Forest
Competition or Maintenance,13620_51_63_64_65_66,0.0025008,400,Laurentian-Acadian Northern Pine(-Oak) Forest
Competition or Maintenance,13670_32_44,0.0024052,416,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland
Competition or Maintenance,13830_32_35_36,0.0101624,98,Edwards Plateau Limestone Savanna and Woodland
Competition or Maintenance,14740_46_47_48_55_56_58_60_99,0.0052564,190,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Competition or Maintenance,14760_36,0.0017828,561,Tamaulipan Riparian Systems
Competition or Maintenance,14850_55_99,0.0057814,173,East Gulf Coastal Plain Savanna and Wet Prairie
Competition or Maintenance,15070_44,0.004714,212,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland
Competition or Maintenance,18100_79,0.0006594,1517,Hawaii Montane Rainforest
Insect or Disease,10080_1_2_3_7,0.0004342,2303,North Pacific Oak Woodland
Insect or Disease,10110_15,0.0018518,540,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_16_23_24,0.00042,2381,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_20_29,0.002543,393,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_21,0.0026392,379,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_22,0.0019782,506,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_27,0.0018562,539,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_28,0.001853,540,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_6_10_12_17_18_19,0.0022824,438,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_7,0.0012596,794,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10110_9,0.0006778,1475,Rocky Mountain Aspen Forest and Woodland
Insect or Disease,10140_4_5,0.0046838,214,Central and Southern California Mixed Evergreen Woodland
Insect or Disease,10160_13_14,0.0028668,349,Colorado Plateau Pinyon-Juniper Woodland
Insect or Disease,10160_15_28,0.0058672,170,Colorado Plateau Pinyon-Juniper Woodland
Insect or Disease,10160_16_23_24_25,0.0035028,285,Colorado Plateau Pinyon-Juniper Woodland
Insect or Disease,10160_17,0.0035252,284,Colorado Plateau Pinyon-Juniper Woodland
Insect or Disease,10160_22,0.0009368,1067,Colorado Plateau Pinyon-Juniper Woodland
Insect or Disease,10180_1_7,0.0019366,516,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
Insect or Disease,10190_13_14,0.0028614,349,Great Basin Pinyon-Juniper Woodland
Insect or Disease,10190_15,0.002891,346,Great Basin Pinyon-Juniper Woodland
Insect or Disease,10190_4,0.002349,426,Great Basin Pinyon-Juniper Woodland
Insect or Disease,10190_6_7_9_12_16_17_18_19,0.00223,448,Great Basin Pinyon-Juniper Woodland
Insect or Disease,10260_15,0.0080588,124,Madrean Upper Montane Conifer-Oak Forest and Woodland
Insect or Disease,10270_4_5_6,0.0014776,677,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
Insect or Disease,10280_4_6_7_12,0.0028342,353,Mediterranean California Mesic Mixed Conifer Forest and Woodland
Insect or Disease,10290_2_3_4_5_6_7_12,0.0013752,727,Mediterranean California Mixed Oak Woodland
Insect or Disease,10310_2_3_4_5_6_12,0.001421,704,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
Insect or Disease,10310_7,0.041958,24,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
Insect or Disease,10320_2_3_7,0.003016,332,Mediterranean California Red Fir Forest
Insect or Disease,10321_6,0.0025482,392,Mediterranean California Red Fir Forest - Cascades
Insect or Disease,10322_6,0.0023678,422,Mediterranean California Red Fir Forest - Southern Sierra
Insect or Disease,10330_12,0.003762,266,Mediterranean California Subalpine Woodland
Insect or Disease,10350_1_2_7,0.002263,442,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland
Insect or Disease,10370_1_2_7,0.0005488,1822,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest
Insect or Disease,10390_1_2_3_7,0.0003514,2846,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest
Insect or Disease,10412_1_7,0.0033414,299,North Pacific Mountain Hemlock Forest - Xeric
Insect or Disease,10420_1_7,0.000831,1203,North Pacific Mesic Western Hemlock-Silver Fir Forest
Insect or Disease,10430_5,0.0046446,215,Mediterranean California Mixed Evergreen Forest
Insect or Disease,10431_2_3_6_7,0.003578,279,Mediterranean California Mixed Evergreen Forest - Interior
Insect or Disease,10440_3_6_7,0.004736,211,Northern California Mesic Subalpine Woodland
Insect or Disease,10450_1_7_8_9,0.0073362,136,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Insect or Disease,10450_21,0.0101832,98,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
Insect or Disease,10451_10_19,0.0111856,89,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
Insect or Disease,10451_20,0.0020002,500,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
Insect or Disease,10452_10_19,0.0070298,142,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
Insect or Disease,10453_10_19,0.0089428,112,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
Insect or Disease,10454_20,0.0108976,92,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine
Insect or Disease,10460_1_7_9,0.0038084,263,Northern Rocky Mountain Subalpine Woodland and Parkland
Insect or Disease,10460_10_19_20,0.0040756,245,Northern Rocky Mountain Subalpine Woodland and Parkland
Insect or Disease,10460_21,0.0058828,170,Northern Rocky Mountain Subalpine Woodland and Parkland
Insect or Disease,10470_10_19,0.001835,545,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Insect or Disease,10470_8_9,0.003726,268,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
Insect or Disease,10472_10_19,0.0067936,147,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves
Insect or Disease,10480_29,0.0018376,544,Northwestern Great Plains Highland White Spruce Woodland
Insect or Disease,10490_16_22,0.0026992,370,Rocky Mountain Foothill Limber Pine-Juniper Woodland
Insect or Disease,10500_16_23_28,0.0104074,96,Rocky Mountain Lodgepole Pine Forest
Insect or Disease,10500_18,0.0106874,94,Rocky Mountain Lodgepole Pine Forest
Insect or Disease,10500_22,0.0088886,113,Rocky Mountain Lodgepole Pine Forest
Insect or Disease,10510_15_16_17_22_23_24_25,0.0077078,130,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10510_18_21,0.0078612,127,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10510_27,0.0088506,113,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10510_29,0.0079844,125,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10510_6,0.0077342,129,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_12,0.0125136,80,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_13,0.0125648,80,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_15,0.0122,82,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_16_23_24,0.012166,82,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_17,0.0123202,81,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_18,0.0123222,81,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_21,0.012258,82,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_25,0.012711,79,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10520_27,0.0124516,80,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
Insect or Disease,10530_10_19,0.0104762,95,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
Insect or Disease,10531_1_7_8_9,0.0037776,265,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic
Insect or Disease,10532_7_9,0.0034234,292,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric
Insect or Disease,10540_13_14,0.0042204,237,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_15_25,0.0004576,2185,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_16_23_24,0.0029106,344,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_17,0.0042036,238,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_20,0.0139124,72,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_22,0.0089592,112,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_26,0.0019062,525,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10540_29,0.0340586,29,Southern Rocky Mountain Ponderosa Pine Woodland
Insect or Disease,10541_27,0.0514518,19,Southern Rocky Mountain Ponderosa Pine Woodland - South
Insect or Disease,10550_1_8_9,0.0068248,147,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_10_19,0.002614,383,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_15_28,0.0015914,628,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_16_23_24,0.003447,290,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_17,0.0053804,186,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_18,0.0050458,198,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_20,0.0074756,134,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_21_22,0.0105708,95,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_27,0.0015588,642,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10550_29,0.0013254,754,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
Insect or Disease,10560_1_7_8_9,0.0037106,269,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_10_19,0.0014876,672,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_15_28,0.0015386,650,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_16_23,0.0034642,289,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_18,0.004938,203,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_20,0.000484,2066,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_21_22,0.0006556,1525,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10560_29,0.0007228,1384,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
Insect or Disease,10580_12,0.0017486,572,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
Insect or Disease,10580_4,0.001541,649,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
Insect or Disease,10581_6,0.0017452,573,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet
Insect or Disease,10582_6,0.001167,857,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Dry
Insect or Disease,10590_24_28,0.0051772,193,Southern Rocky Mountain Pinyon-Juniper Woodland
Insect or Disease,10610_13,0.0025498,392,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10610_15_25,0.0003252,3075,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10610_18,0.001386,722,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10610_20_29,0.0026144,382,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10610_22_27_28,0.0051238,195,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10610_6,0.0023864,419,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10610_8_9_17,0.0018078,553,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Insect or Disease,10611_16_23_24,0.0003292,3038,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation
Insect or Disease,10612_16_23,0.0023444,427,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation
Insect or Disease,10790_13,0.0040256,248,Great Basin Xeric Mixed Sagebrush Shrubland
Insect or Disease,10790_6_9_10_12_16_17_18,0.0041096,243,Great Basin Xeric Mixed Sagebrush Shrubland
Insect or Disease,10800_1_7_8_9,0.0189908,53,Inter-Mountain Basins Big Sagebrush Shrubland
Insect or Disease,10800_13_14,0.0003602,2776,Inter-Mountain Basins Big Sagebrush Shrubland
Insect or Disease,10802_21_22_28,0.0009776,1023,Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush
Insect or Disease,10810_18_19_21,0.029138,34,Inter-Mountain Basins Mixed Salt Desert Scrub
Insect or Disease,11020_28,0.0058642,171,Colorado Plateau Pinyon-Juniper Shrubland
Insect or Disease,11070_13,0.0028188,355,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Insect or Disease,11070_17,0.0027752,360,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
Insect or Disease,11071_16,0.0026534,377,Rocky Mountain Gambel Oak-Mixed Montane Shrubland  - Continuous
Insect or Disease,11072_16,0.002764,362,Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy
Insect or Disease,11120_4_5,0.0063028,159,California Central Valley Mixed Oak Savanna
Insect or Disease,11130_3,0.0001888,5297,California Coastal Live Oak Woodland and Savanna
Insect or Disease,11130_4,0.0001938,5160,California Coastal Live Oak Woodland and Savanna
Insect or Disease,11170_16_23_24,0.0008046,1243,Southern Rocky Mountain Ponderosa Pine Savanna
Insect or Disease,11170_20,0.0013498,741,Southern Rocky Mountain Ponderosa Pine Savanna
Insect or Disease,11170_29,0.0167586,60,Southern Rocky Mountain Ponderosa Pine Savanna
Insect or Disease,11170_33,0.0008242,1213,Southern Rocky Mountain Ponderosa Pine Savanna
Insect or Disease,11171_27,0.037544,27,Southern Rocky Mountain Ponderosa Pine Savanna - South
Insect or Disease,11172_27,0.0008256,1211,Southern Rocky Mountain Ponderosa Pine Savanna - North
Insect or Disease,11190_24_25,0.0040072,250,Southern Rocky Mountain Juniper Woodland and Savanna
Insect or Disease,11190_27,0.0036168,276,Southern Rocky Mountain Juniper Woodland and Savanna
Insect or Disease,11190_28,0.0040086,249,Southern Rocky Mountain Juniper Woodland and Savanna
Insect or Disease,11200_1_2_7,0.0000126,79365,Willamette Valley Upland Prairie and Savanna
Insect or Disease,11250_1_7_8_9_10_19,0.0110502,90,Inter-Mountain Basins Big Sagebrush Steppe
Insect or Disease,11250_20_29_30_31_33,0.000991,1009,Inter-Mountain Basins Big Sagebrush Steppe
Insect or Disease,11250_6_12_13_15_16_17_18_23_24_25_28,0.0175626,57,Inter-Mountain Basins Big Sagebrush Steppe
Insect or Disease,11260_1_7_8_9_10_19,0.0135076,74,Inter-Mountain Basins Montane Sagebrush Steppe
Insect or Disease,11260_13,0.0040866,245,Inter-Mountain Basins Montane Sagebrush Steppe
Insect or Disease,11260_20_29_33,0.005989,167,Inter-Mountain Basins Montane Sagebrush Steppe
Insect or Disease,11260_21,0.0062836,159,Inter-Mountain Basins Montane Sagebrush Steppe
Insect or Disease,11260_22,0.0008794,1137,Inter-Mountain Basins Montane Sagebrush Steppe
Insect or Disease,11260_6_12_17_18_28,0.003889,257,Inter-Mountain Basins Montane Sagebrush Steppe
Insect or Disease,11261_16_23_24,0.0040316,248,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush
Insect or Disease,11270_15,0.0136456,73,Inter-Mountain Basins Semi-Desert Shrub-Steppe
Insect or Disease,11270_16_23_24_25,0.0129756,77,Inter-Mountain Basins Semi-Desert Shrub-Steppe
Insect or Disease,11270_28,0.0136056,73,Inter-Mountain Basins Semi-Desert Shrub-Steppe
Insect or Disease,11350_13_14,0.0088122,113,Inter-Mountain Basins Semi-Desert Grassland
Insect or Disease,11350_7_8_9_10_12_17_18,0.0106754,94,Inter-Mountain Basins Semi-Desert Grassland
Insect or Disease,11400_9,0.0009826,1018,Northern Rocky Mountain Subalpine-Upper Montane Grassland
Insect or Disease,11410_20,0.000788,1269,Northwestern Great Plains Mixedgrass Prairie
Insect or Disease,11410_29_30,0.0000796,12563,Northwestern Great Plains Mixedgrass Prairie
Insect or Disease,11600_18,0.0003998,2501,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Insect or Disease,11610_21,0.001173,853,Northern Rocky Mountain Conifer Swamp
Insect or Disease,11650_9,0.0009682,1033,Northern Rocky Mountain Foothill Conifer Wooded Steppe
Insect or Disease,11660_21,0.0496696,20,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Insect or Disease,11660_22,0.0562788,18,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Insect or Disease,11660_29,0.0018282,547,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Insect or Disease,11660_9_10_19,0.0021954,455,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Insect or Disease,11662_19,0.0009568,1045,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna
Insect or Disease,11670_1_7_9,0.0108898,92,Rocky Mountain Poor-Site Lodgepole Pine Forest
Insect or Disease,11670_10_19,0.0007448,1343,Rocky Mountain Poor-Site Lodgepole Pine Forest
Insect or Disease,11670_21,0.0022232,450,Rocky Mountain Poor-Site Lodgepole Pine Forest
Insect or Disease,11720_7,0.0011416,876,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
Insect or Disease,11740_1_7,0.0011198,893,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
Insect or Disease,11790_31,0.0005392,1855,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
Insect or Disease,11791_29_30,0.034635,29,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland
Insect or Disease,11792_29_30,0.0163584,61,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna
Insect or Disease,13010_40,0.0115426,87,Boreal Aspen-Birch Forest
Insect or Disease,13060_47_48,0.0008748,1143,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
Insect or Disease,13070_46_47_48,0.000866,1155,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
Insect or Disease,13090_53_57,0.0035894,279,Southern Appalachian Northern Hardwood Forest
Insect or Disease,13150_48_53_57_59_61,0.0013332,750,Southern Appalachian Oak Forest
Insect or Disease,13160_54_57_59_61,0.0028392,352,Southern Piedmont Mesic Forest
Insect or Disease,13160_60,0.0028052,356,Southern Piedmont Mesic Forest
Insect or Disease,13170_57_61,0.0027966,358,Allegheny-Cumberland Dry Oak Forest and Woodland
Insect or Disease,13180_48_53,0.001037,964,Southern and Central Appalachian Cove Forest
Insect or Disease,13180_57_59_61,0.0038112,262,Southern and Central Appalachian Cove Forest
Insect or Disease,13200_48_57_61,0.0020006,500,Central and Southern Appalachian Montane Oak Forest
Insect or Disease,13210_47_48_53_57,0.0023292,429,South-Central Interior Mesophytic Forest
Insect or Disease,13210_61_63,0.0024756,404,South-Central Interior Mesophytic Forest
Insect or Disease,13220_45,0.0028316,353,Southern Crowley`s Ridge Mesic Loess Slope Forest
Insect or Disease,13240_60_65_66,0.000084,11905,Northern Atlantic Coastal Plain Hardwood Forest
Insect or Disease,13260_47,0.0044974,222,South-Central Interior/Upper Coastal Plain Flatwoods
Insect or Disease,13280_46_99,0.0012752,784,East Gulf Coastal Plain Limestone Forest
Insect or Disease,13300_46_48_54_55_56_99,0.0012544,797,Southern Coastal Plain Dry Upland Hardwood Forest
Insect or Disease,13350_55_58_60,0.0012512,799,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest
Insect or Disease,13420_59,0.0014816,675,Piedmont Hardpan Woodland and Forest
Insect or Disease,13440_66,0.00152,658,Boreal Jack Pine-Black Spruce Forest
Insect or Disease,13460_54_55_58,0.000845,1183,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
Insect or Disease,13470_55_58_60,0.0008552,1169,Atlantic Coastal Plain Upland Longleaf Pine Woodland
Insect or Disease,13490_46_48_54_55_99,0.0006336,1578,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland
Insect or Disease,13500_57,0.0117322,85,Central and Southern Appalachian Spruce-Fir Forest
